First_line,City,Postcode,Council_ward,Bedrooms,Bathrooms,Lounges,Price,Square_ft,Property_type,Council_tax_band,EPC_band,Parking,Longitude,Latitude
2 Albert Den,Aberdeen,AB25 1YX,Midstocket/Rosemount,2,2,1,750,75,Flat,CT Band E,EPC band C,Parking,-2.117279,57.1461223
3c Anderson Drive,Aberdeen,AB15 4ST,Airyhall/Broomhill/Garthdee,2,2,1,750,82,Flat,CT Band E,EPC band C,Parking,-2.134405992,57.13363112
11 Cypress Avenue,Aberdeen,AB23 8LA,Bridge of Don,2,1,1,625,69,House Semi Detached,CT Band C,EPC band C,Parking,-2.1005885,57.1994854
"First Floor Left,  31 Bank Street",Aberdeen,AB11 7TA,Torry/Ferryhill,1,1,1,475,46,Flat,CT Band B,EPC band C,Parking,-2.1005327,57.1380159
66 Ashgrove Road,Aberdeen,AB25 3AD,Midstocket/Rosemount,2,1,1,550,53,Flat,CT Band B,EPC band D,,-2.1190668,57.1587937
124e North Deeside Road,Aberdeen,AB14 0RS,Lower Deeside,2,2,1,695,72,Flat,CT Band E,EPC band B,Parking,-2.2636539,57.09612
"36 Dempsey Court, Queens Lane North",Aberdeen,AB15 4DY,Hazlehead/Queens Cross/Countesswells,2,2,1,1100,86,Flat,CT Band F,EPC band C,Parking,-2.1296858,57.1434534
"Basement Flat Left,  164 Crown Street",Aberdeen,AB11 6JB,Torry/Ferryhill,2,1,1,495,56,Flat,CT Band B,EPC band C,,-2.101012,57.1403439
"Flat G,  54 Charlotte Street",Aberdeen,AB25 1LT,George St/Harbour,2,1,1,525,56,Flat,CT Band D,EPC band C,Parking,-2.10447254,57.15133109
19B Whitehouse Street,Aberdeen,AB10 1QJ,Midstocket/Rosemount,2,1,1,550,74,Flat,CT Band D,EPC band E,,-2.111434,57.146558
180 Great Western Road,Aberdeen,AB10 6PB,Hazlehead/Queens Cross/Countesswells,2,1,1,550,59,Flat,CT Band C,EPC band D,,-2.1201827,57.1374676
67 Mary Elmslie Court,Aberdeen,AB24 5BS,George St/Harbour,2,1,1,550,58,Flat,CT Band E,EPC band C,Parking,-2.092387,57.155907
9 Northfield Place,Aberdeen,AB25 1SB,Midstocket/Rosemount,1,1,1,395,38,Flat,CT Band B,EPC band D,,-2.113521,57.147894
14 Callum Wynd,Aberdeen,AB15 8XL,Kingswells/Sheddocksley/Summerhill,3,2,2,850,87,House Detached,CT Band F,EPC band D,,-2.2284622,57.1595697
38 Ferguson Court,Aberdeen,AB21 9AG,Dyce/Bucksburn/Danestone,2,1,1,525,55,Flat,CT Band B,EPC band E,Parking,-2.1686741,57.1778083
"61 College Gardens,  Littlejohn Street",Aberdeen,AB10 1FL,George St/Harbour,2,1,1,650,57,Flat,CT Band D,EPC band D,Parking,-2.0961592,57.1496834
22 Hartington Road,Aberdeen,AB10 6YA,Hazlehead/Queens Cross/Countesswells,1,1,1,425,38,Flat,CT Band B,EPC band D,,-2.1230557,57.1410315
"Top Floor Right,  11 Commerce Street",Aberdeen,AB11 5EU,George St/Harbour,1,1,1,375,30,Flat,CT Band A,EPC band F,,-2.0876496,57.1470459
"TFR,  53 Claremont Grove",Aberdeen,AB10 6RF,Hazlehead/Queens Cross/Countesswells,2,1,1,550,78,Flat,CT Band D,EPC band D,Parking,-2.1210778,57.1391735
54 Urquhart Terrace,Aberdeen,AB24 5NJ,George St/Harbour,2,1,1,450,64,Flat,CT Band C,EPC band C,Parking,-2.087426,57.155192
67 Bon Accord Street,Aberdeen,AB11 6EB,Torry/Ferryhill,1,1,1,400,37,Flat,CT Band A,EPC band E,,-2.105113,57.1426548
